,Item ID,Month,Product,Product Type,Species,Anticoagulant,Gender,Forecast
6110,8200806,2025-08-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,29.167207070707068
6111,8200806,2025-09-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,32.20655447330447
6112,8200806,2025-10-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,41.194022727272724
6113,8200806,2025-11-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,32.72553066378067
6114,8200806,2025-12-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,32.72553066378067
6115,8200806,2026-01-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,33.33053066378066
6116,8200806,2026-02-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,33.33053066378066
6117,8200806,2026-03-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,37.368697330447326
6118,8200806,2026-04-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,39.267467171717165
6119,8204911,2025-05-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED,9.442094072594072
6120,8204911,2025-06-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED,7.3704260184260155
6121,8204911,2025-07-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED,6.120432955932955
6122,8204911,2025-08-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED,10.383608419358417
6123,8204911,2025-09-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED,7.2882699800199795
6124,8204911,2025-10-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED,11.781020923520925
6125,8204911,2025-11-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED,5.816420329670328
6126,8204911,2025-12-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED,6.090293206793206
6127,8204911,2026-01-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED,9.400920190920191
6128,8204911,2026-02-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED,5.9155869963369945
6129,8204911,2026-03-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED,11.077982961482963
6130,8204911,2026-04-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-HEPARIN,GENDER UNSPECIFIED,5.816420329670328
6181,8204901,2025-05-01,WHOLE BLOOD,ABATTOIR,PORCINE,ACD,GENDER UNSPECIFIED,3.4155555555555552
6182,8204901,2025-06-01,WHOLE BLOOD,ABATTOIR,PORCINE,ACD,GENDER UNSPECIFIED,3.6055555555555556
6183,8204901,2025-07-01,WHOLE BLOOD,ABATTOIR,PORCINE,ACD,GENDER UNSPECIFIED,3.6055555555555556
6184,8204901,2025-08-01,WHOLE BLOOD,ABATTOIR,PORCINE,ACD,GENDER UNSPECIFIED,3.4155555555555552
6185,8204901,2025-09-01,WHOLE BLOOD,ABATTOIR,PORCINE,ACD,GENDER UNSPECIFIED,3.4155555555555552
6186,8204901,2025-10-01,WHOLE BLOOD,ABATTOIR,PORCINE,ACD,GENDER UNSPECIFIED,3.4155555555555552
6187,8204901,2025-11-01,WHOLE BLOOD,ABATTOIR,PORCINE,ACD,GENDER UNSPECIFIED,3.4155555555555552
6188,8204901,2025-12-01,WHOLE BLOOD,ABATTOIR,PORCINE,ACD,GENDER UNSPECIFIED,3.4155555555555552
6189,8204901,2026-01-01,WHOLE BLOOD,ABATTOIR,PORCINE,ACD,GENDER UNSPECIFIED,3.4155555555555552
6190,8204901,2026-02-01,WHOLE BLOOD,ABATTOIR,PORCINE,ACD,GENDER UNSPECIFIED,3.4155555555555552
6191,8204901,2026-03-01,WHOLE BLOOD,ABATTOIR,PORCINE,ACD,GENDER UNSPECIFIED,3.4155555555555552
6192,8204901,2026-04-01,WHOLE BLOOD,ABATTOIR,PORCINE,ACD,GENDER UNSPECIFIED,3.4155555555555552
6193,8620853,2025-05-01,"GLANDS, TISSUES & ORGANS",ABATTOIR-SYNOVIAL FLUID,BOVINE,NONE,GENDER UNSPECIFIED,0.4363688422688424
6194,8620853,2025-06-01,"GLANDS, TISSUES & ORGANS",ABATTOIR-SYNOVIAL FLUID,BOVINE,NONE,GENDER UNSPECIFIED,0.2386266344766344
6195,8620853,2025-07-01,"GLANDS, TISSUES & ORGANS",ABATTOIR-SYNOVIAL FLUID,BOVINE,NONE,GENDER UNSPECIFIED,0.3083539682539682
6196,8620853,2025-08-01,"GLANDS, TISSUES & ORGANS",ABATTOIR-SYNOVIAL FLUID,BOVINE,NONE,GENDER UNSPECIFIED,0.28261703851703857
6197,8620853,2025-09-01,"GLANDS, TISSUES & ORGANS",ABATTOIR-SYNOVIAL FLUID,BOVINE,NONE,GENDER UNSPECIFIED,0.26910816405816407
6198,8620853,2025-10-01,"GLANDS, TISSUES & ORGANS",ABATTOIR-SYNOVIAL FLUID,BOVINE,NONE,GENDER UNSPECIFIED,0.26840556665556664
6199,8620853,2025-11-01,"GLANDS, TISSUES & ORGANS",ABATTOIR-SYNOVIAL FLUID,BOVINE,NONE,GENDER UNSPECIFIED,0.2578988566988567
6200,8620853,2025-12-01,"GLANDS, TISSUES & ORGANS",ABATTOIR-SYNOVIAL FLUID,BOVINE,NONE,GENDER UNSPECIFIED,0.25883038628038635
6201,8620853,2026-01-01,"GLANDS, TISSUES & ORGANS",ABATTOIR-SYNOVIAL FLUID,BOVINE,NONE,GENDER UNSPECIFIED,0.23188998223998225
6202,8620853,2026-02-01,"GLANDS, TISSUES & ORGANS",ABATTOIR-SYNOVIAL FLUID,BOVINE,NONE,GENDER UNSPECIFIED,0.21319835164835166
6203,8620853,2026-03-01,"GLANDS, TISSUES & ORGANS",ABATTOIR-SYNOVIAL FLUID,BOVINE,NONE,GENDER UNSPECIFIED,0.21319835164835166
6204,8620853,2026-04-01,"GLANDS, TISSUES & ORGANS",ABATTOIR-SYNOVIAL FLUID,BOVINE,NONE,GENDER UNSPECIFIED,0.21539835164835167
6518,8200811,2025-05-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-HEPARIN,GENDER UNSPECIFIED,13.431420634920636
6519,8200811,2025-06-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-HEPARIN,GENDER UNSPECIFIED,16.805134920634924
6520,8200811,2025-07-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-HEPARIN,GENDER UNSPECIFIED,17.650849206349207
6521,8200811,2025-08-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-HEPARIN,GENDER UNSPECIFIED,19.612268398268398
6522,8200811,2025-09-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-HEPARIN,GENDER UNSPECIFIED,24.556030303030298
6523,8200811,2025-10-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-HEPARIN,GENDER UNSPECIFIED,33.4292113997114
6524,8200811,2025-11-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-HEPARIN,GENDER UNSPECIFIED,16.32083982683983
6525,8200811,2025-12-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-HEPARIN,GENDER UNSPECIFIED,19.694554112554112
6526,8200811,2026-01-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-HEPARIN,GENDER UNSPECIFIED,19.612268398268398
6527,8200811,2026-02-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-HEPARIN,GENDER UNSPECIFIED,24.556030303030298
6528,8200811,2026-03-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-HEPARIN,GENDER UNSPECIFIED,38.372973304473305
6529,8200811,2026-04-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-HEPARIN,GENDER UNSPECIFIED,30.459568542568544
6602,8204906,2025-05-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-CITRATE,GENDER UNSPECIFIED,1.6446047841047844
6603,8204906,2025-06-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-CITRATE,GENDER UNSPECIFIED,1.7033428793428798
6604,8204906,2025-07-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-CITRATE,GENDER UNSPECIFIED,3.0104907869907866
6605,8204906,2025-08-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-CITRATE,GENDER UNSPECIFIED,3.529351537351537
6606,8204906,2025-09-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-CITRATE,GENDER UNSPECIFIED,6.338521090021089
6607,8204906,2025-10-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-CITRATE,GENDER UNSPECIFIED,6.839433788433787
6608,8204906,2025-11-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-CITRATE,GENDER UNSPECIFIED,1.5891206571206573
6609,8204906,2025-12-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-CITRATE,GENDER UNSPECIFIED,1.7033428793428798
6610,8204906,2026-01-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-CITRATE,GENDER UNSPECIFIED,3.889114885114885
6611,8204906,2026-02-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-CITRATE,GENDER UNSPECIFIED,3.887749805749806
6612,8204906,2026-03-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-CITRATE,GENDER UNSPECIFIED,2.78216539016539
6613,8204906,2026-04-01,WHOLE BLOOD,ABATTOIR,PORCINE,NA-CITRATE,GENDER UNSPECIFIED,6.3198861693861685
8224,7248508,2025-05-01,WASHED CELLS,10%,RHESUS,ALSEVERS,GENDER UNSPECIFIED,0.7893232878232879
8225,7248508,2025-06-01,WASHED CELLS,10%,RHESUS,ALSEVERS,GENDER UNSPECIFIED,0.9706091797091797
8226,7248508,2025-07-01,WASHED CELLS,10%,RHESUS,ALSEVERS,GENDER UNSPECIFIED,0.8569021423021423
8227,7248508,2025-08-01,WASHED CELLS,10%,RHESUS,ALSEVERS,GENDER UNSPECIFIED,0.7973121767121768
8228,7248508,2025-09-01,WASHED CELLS,10%,RHESUS,ALSEVERS,GENDER UNSPECIFIED,0.9113046065046063
